Provider,total_claim,total_revenue,avg_claim,unique_patients,first_claim,last_claim,active_days,claims_per_day,days_since_lastclaim,PotentialFraud,segment,visits_per_qtr,cost_of_visit,quaterly_cost
PRV51609,48,7980,166.25,45,2009-01-01,2009-12-25,358,0.1337047353760445,6,No,rising stars,4,800,800
PRV51610,2,130,65.0,2,2009-05-23,2009-10-24,154,0.0129032258064516,68,No,standard,1,200,200
PRV51611,6,2750,458.3333333333333,6,2009-02-24,2009-10-01,219,0.0272727272727272,91,No,standard,1,200,200
PRV51612,6,740,123.33333333333331,6,2009-01-03,2009-10-27,297,0.0201342281879194,65,No,standard,1,200,200
PRV51613,10,2260,226.0,10,2009-01-03,2009-12-05,336,0.029673590504451,26,No,standard,1,200,200
PRV51614,88,19720,224.0909090909091,83,2009-01-01,2009-12-27,360,0.2437673130193905,4,Yes,champion,6,1200,1200
PRV51616,21,4850,230.95238095238096,21,2009-01-27,2009-12-18,325,0.0644171779141104,13,No,standard,1,200,200
PRV51617,9,2190,243.33333333333337,9,2009-04-20,2009-12-30,254,0.0352941176470588,1,No,standard,1,200,200
PRV51619,10,3150,315.0,10,2009-01-04,2009-07-28,205,0.0485436893203883,156,No,standard,1,200,200
PRV51620,5,1190,238.0,5,2009-01-06,2009-12-21,349,0.0142857142857142,10,No,standard,1,200,200
PRV51621,7,520,74.28571428571429,7,2009-02-07,2009-11-28,294,0.023728813559322,33,No,standard,1,200,200
PRV51622,74,37040,500.5405405405405,69,2009-01-01,2009-12-28,361,0.2044198895027624,3,No,champion,6,1200,1200
PRV51623,14,3350,239.28571428571428,14,2009-01-16,2009-11-19,307,0.0454545454545454,42,No,standard,1,200,200
PRV51624,4,310,77.5,4,2009-02-06,2009-09-29,235,0.0169491525423728,93,No,standard,1,200,200
PRV51625,2,20,10.0,2,2009-02-16,2009-07-10,144,0.0137931034482758,174,No,standard,1,200,200
PRV51626,6,1790,298.3333333333333,6,2009-03-30,2009-08-05,128,0.0465116279069767,148,No,standard,1,200,200
PRV51627,18,2290,127.22222222222224,18,2009-01-06,2009-12-06,334,0.053731343283582,25,No,standard,1,200,200
PRV51628,2,240,120.0,2,2009-02-11,2009-06-13,122,0.016260162601626,201,No,standard,1,200,200
PRV51630,3,1810,603.3333333333334,3,2009-01-27,2009-11-16,293,0.010204081632653,45,No,standard,1,200,200
PRV51631,5,1460,292.0,5,2009-04-16,2009-12-13,241,0.0206611570247933,18,No,standard,1,200,200
PRV51632,15,2610,174.0,15,2009-01-08,2009-12-18,344,0.0434782608695652,13,No,standard,1,200,200
PRV51634,88,45650,518.75,85,2009-01-07,2009-12-31,358,0.245125348189415,0,No,champion,6,1200,1200
PRV51635,18,2680,148.88888888888889,18,2009-01-18,2009-11-15,301,0.0596026490066225,46,No,standard,1,200,200
PRV51636,226,84550,374.1150442477877,157,2009-01-02,2009-12-30,362,0.6225895316804407,1,No,champion,6,1200,1200
PRV51637,22,5150,234.0909090909091,22,2009-01-02,2009-12-28,360,0.0609418282548476,3,No,standard,1,200,200
PRV51638,2,2490,1245.0,2,2009-08-20,2009-09-08,19,0.1,114,No,standard,1,200,200
PRV51639,12,1910,159.16666666666666,12,2009-01-13,2009-10-25,285,0.0419580419580419,67,No,standard,1,200,200
PRV51640,3,1490,496.6666666666667,3,2009-01-13,2009-07-25,193,0.0154639175257731,159,No,standard,1,200,200
PRV51641,11,1280,116.36363636363636,10,2009-01-11,2009-11-14,307,0.0357142857142857,47,No,standard,1,200,200
PRV51642,25,5300,212.0,22,2009-01-02,2009-12-28,360,0.0692520775623268,3,No,standard,1,200,200
PRV51644,17,6280,369.4117647058824,17,2009-01-03,2009-12-22,353,0.0480225988700565,9,No,standard,1,200,200
PRV51645,3,280,93.33333333333331,3,2009-03-16,2009-08-12,149,0.02,141,No,standard,1,200,200
PRV51647,6,1240,206.66666666666663,6,2009-01-29,2009-10-19,263,0.0227272727272727,73,No,standard,1,200,200
PRV51650,18,13130,729.4444444444445,17,2009-01-15,2009-12-14,333,0.0538922155688622,17,No,standard,1,200,200
PRV51652,46,10120,220.0,38,2009-01-03,2009-12-29,360,0.1274238227146814,2,No,rising stars,4,800,800
PRV51653,18,7500,416.6666666666667,18,2009-01-01,2009-11-12,315,0.0569620253164556,49,No,standard,1,200,200
PRV51654,1,200,200.0,1,2009-01-11,2009-01-11,0,1.0,354,No,standard,1,200,200
PRV51655,2,70,35.0,2,2009-07-07,2009-09-04,59,0.0333333333333333,118,No,standard,1,200,200
PRV51656,17,4210,247.64705882352945,17,2009-01-09,2009-12-09,334,0.0507462686567164,22,No,standard,1,200,200
PRV51657,2,3700,1850.0,2,2009-04-12,2009-11-08,210,0.0094786729857819,53,No,standard,1,200,200
PRV51658,4,1710,427.5,4,2009-01-28,2009-10-27,272,0.0146520146520146,65,No,standard,1,200,200
PRV51660,3,180,60.0,3,2009-05-29,2009-07-02,34,0.0857142857142857,182,No,standard,1,200,200
PRV51661,104,38330,368.5576923076923,74,2008-12-15,2009-12-28,378,0.2744063324538258,3,No,champion,6,1200,1200
PRV51664,8,660,82.5,8,2009-03-11,2009-11-24,258,0.0308880308880308,37,No,standard,1,200,200
PRV51665,14,1710,122.14285714285714,14,2009-01-23,2009-12-12,323,0.0432098765432098,19,No,standard,1,200,200
PRV51666,1,50,50.0,1,2009-12-01,2009-12-01,0,1.0,30,No,standard,1,200,200
PRV51668,33,8230,249.3939393939394,25,2009-01-05,2009-12-25,354,0.0929577464788732,6,No,rising stars,4,800,800
PRV51669,52,17190,330.5769230769231,50,2009-01-09,2009-12-24,349,0.1485714285714285,7,No,rising stars,4,800,800
PRV51670,331,88900,268.58006042296074,239,2008-12-30,2009-12-31,366,0.9019073569482288,0,No,champion,6,1200,1200
PRV51671,32,7750,242.1875,32,2009-01-01,2009-11-30,333,0.0958083832335329,31,No,standard,1,200,200
PRV51672,6,2270,378.3333333333333,6,2009-03-04,2009-12-27,298,0.020066889632107,4,No,standard,1,200,200
PRV51673,144,43090,299.2361111111111,68,2008-12-31,2009-12-28,362,0.396694214876033,3,No,champion,6,1200,1200
PRV51674,4,1400,350.0,4,2009-04-03,2009-11-13,224,0.0177777777777777,48,No,standard,1,200,200
PRV51675,16,6280,392.5,16,2009-01-14,2009-10-24,283,0.056338028169014,68,No,standard,1,200,200
PRV51676,113,38050,336.72566371681415,104,2008-12-24,2009-12-27,368,0.3062330623306233,4,No,champion,6,1200,1200
PRV51678,48,24640,513.3333333333334,47,2009-01-08,2009-12-24,350,0.1367521367521367,7,No,rising stars,4,800,800
PRV51679,28,8200,292.85714285714283,14,2009-01-06,2009-12-27,355,0.0786516853932584,4,No,rising stars,4,800,800
PRV51681,20,14010,700.5,20,2009-01-19,2009-12-12,327,0.0609756097560975,19,No,standard,1,200,200
PRV51682,13,9000,692.3076923076923,13,2009-01-12,2009-11-25,317,0.040880503144654,36,No,standard,1,200,200
PRV51685,45,11180,248.44444444444449,34,2009-01-18,2009-12-27,343,0.1308139534883721,4,No,rising stars,4,800,800
PRV51687,7,2350,335.7142857142857,4,2009-01-02,2009-12-22,354,0.0197183098591549,9,No,standard,1,200,200
PRV51688,6,660,110.0,6,2009-06-04,2009-12-15,194,0.0307692307692307,16,No,standard,1,200,200
PRV51689,1,1700,1700.0,1,2009-08-05,2009-08-05,0,1.0,148,No,standard,1,200,200
PRV51690,184,56990,309.7282608695652,165,2009-01-02,2009-12-27,359,0.5111111111111111,4,No,champion,6,1200,1200
PRV51691,71,24850,350.0,44,2009-01-01,2009-12-25,358,0.1977715877437326,6,No,champion,6,1200,1200
PRV51692,8,670,83.75,8,2009-02-22,2009-10-23,243,0.0327868852459016,69,No,standard,1,200,200
PRV51693,83,17690,213.13253012048193,44,2009-01-04,2009-12-22,352,0.235127478753541,9,No,rising stars,4,800,800
PRV51694,17,4890,287.6470588235294,14,2009-02-18,2009-12-30,315,0.0537974683544303,1,No,standard,1,200,200
PRV51695,330,88160,267.1515151515151,155,2009-01-01,2009-12-27,360,0.9141274238227148,4,No,champion,6,1200,1200
PRV51696,7,670,95.71428571428572,7,2009-01-14,2009-11-23,313,0.0222929936305732,38,No,standard,1,200,200
PRV51697,48,17760,370.0,43,2009-01-03,2009-12-11,342,0.1399416909620991,20,No,standard,1,200,200
PRV51698,8,1100,137.5,8,2009-02-08,2009-11-15,280,0.0284697508896797,46,No,standard,1,200,200
PRV51699,157,44770,285.1592356687898,108,2009-01-04,2009-12-26,356,0.4397759103641456,5,No,champion,6,1200,1200
PRV51702,8,3220,402.5,8,2009-01-18,2009-10-31,286,0.0278745644599303,61,No,standard,1,200,200
PRV51703,1,60,60.0,1,2009-03-20,2009-03-20,0,1.0,286,No,standard,1,200,200
PRV51704,1,600,600.0,1,2009-01-09,2009-01-09,0,1.0,356,No,standard,1,200,200
PRV51705,1,400,400.0,1,2009-05-30,2009-05-30,0,1.0,215,No,standard,1,200,200
PRV51706,1,300,300.0,1,2009-04-17,2009-04-17,0,1.0,258,No,standard,1,200,200
PRV51707,9,210,23.333333333333332,9,2009-01-31,2009-12-26,329,0.0272727272727272,5,No,standard,1,200,200
PRV51708,2,300,150.0,2,2009-08-15,2009-10-19,65,0.0303030303030303,73,No,standard,1,200,200
PRV51709,5,1470,294.0,5,2009-05-07,2009-10-01,147,0.0337837837837837,91,No,standard,1,200,200
PRV51710,2,80,40.0,2,2009-04-27,2009-12-15,232,0.0085836909871244,16,No,standard,1,200,200
PRV51712,2,60,30.0,2,2009-09-21,2009-10-01,10,0.1818181818181818,91,No,standard,1,200,200
PRV51713,7,820,117.14285714285714,7,2009-02-13,2009-09-12,211,0.0330188679245283,110,No,standard,1,200,200
PRV51715,7,800,114.28571428571428,7,2009-01-01,2009-11-20,323,0.0216049382716049,41,No,standard,1,200,200
PRV51716,66,19950,302.27272727272725,55,2009-01-05,2009-12-31,360,0.1828254847645429,0,No,rising stars,4,800,800
PRV51718,5,2040,408.0,5,2009-03-01,2009-07-26,147,0.0337837837837837,158,No,standard,1,200,200
PRV51719,3,4640,1546.6666666666667,3,2009-02-21,2009-07-11,140,0.0212765957446808,173,No,standard,1,200,200
PRV51720,3,720,240.0,3,2009-03-28,2009-09-18,174,0.0171428571428571,104,No,standard,1,200,200
PRV51721,4,670,167.5,4,2009-01-29,2009-09-03,217,0.018348623853211,119,No,standard,1,200,200
PRV51723,13,5040,387.6923076923077,13,2009-01-04,2009-12-31,361,0.0359116022099447,0,No,standard,1,200,200
PRV51724,4,1070,267.5,4,2009-01-28,2009-12-09,315,0.0126582278481012,22,No,standard,1,200,200
PRV51725,4,190,47.5,4,2009-04-24,2009-10-23,182,0.0218579234972677,69,No,standard,1,200,200
PRV51726,17,6640,390.5882352941176,17,2009-01-31,2009-12-10,313,0.054140127388535,21,No,standard,1,200,200
PRV51727,2,1900,950.0,2,2009-11-11,2009-11-19,8,0.2222222222222222,42,No,standard,1,200,200
PRV51729,15,2760,184.0,15,2009-01-19,2009-12-12,327,0.0457317073170731,19,No,standard,1,200,200
PRV51731,29,7970,274.82758620689657,29,2009-01-21,2009-12-20,333,0.0868263473053892,11,No,rising stars,4,800,800
PRV51732,8,6160,770.0,8,2009-02-14,2009-11-10,269,0.0296296296296296,51,No,standard,1,200,200
PRV51733,1,10,10.0,1,2009-08-03,2009-08-03,0,1.0,150,No,standard,1,200,200
PRV51734,16,7620,476.25,16,2009-01-25,2009-12-14,323,0.0493827160493827,17,No,standard,1,200,200
PRV51735,3,320,106.66666666666669,3,2009-05-13,2009-08-01,80,0.037037037037037,152,No,standard,1,200,200
PRV51736,11,5310,482.72727272727275,11,2009-02-17,2009-11-18,274,0.04,43,No,standard,1,200,200
PRV51737,120,42520,354.3333333333333,93,2009-01-02,2009-12-25,357,0.3351955307262569,6,No,champion,6,1200,1200
PRV51738,13,700,53.84615384615385,11,2009-03-17,2009-12-18,276,0.0469314079422382,13,No,standard,1,200,200
PRV51739,58,11670,201.20689655172413,57,2009-01-05,2009-12-30,359,0.1611111111111111,1,No,rising stars,4,800,800
PRV51740,39,9630,246.92307692307693,36,2009-01-04,2009-12-22,352,0.1104815864022662,9,No,rising stars,4,800,800
PRV51741,25,3720,148.8,24,2009-01-10,2009-12-17,341,0.0730994152046783,14,No,standard,1,200,200
PRV51742,8,2630,328.75,8,2009-01-09,2009-11-21,316,0.0252365930599369,40,No,standard,1,200,200
PRV51743,88,20640,234.54545454545453,86,2009-01-02,2009-12-31,363,0.2417582417582417,0,No,champion,6,1200,1200
PRV51744,5,660,132.0,5,2009-03-02,2009-11-04,247,0.0201612903225806,57,No,standard,1,200,200
PRV51745,9,2090,232.22222222222223,8,2009-02-02,2009-12-28,329,0.0272727272727272,3,No,standard,1,200,200
PRV51746,20,8850,442.5,19,2008-12-27,2009-12-20,358,0.0557103064066852,11,No,standard,1,200,200
PRV51747,3,1000,333.3333333333333,3,2009-04-26,2009-09-11,138,0.0215827338129496,111,No,standard,1,200,200
PRV51748,15,7950,530.0,15,2009-01-14,2009-12-30,350,0.0427350427350427,1,No,standard,1,200,200
PRV51749,4,550,137.5,4,2009-07-26,2009-10-10,76,0.0519480519480519,82,No,standard,1,200,200
PRV51750,3,1600,533.3333333333334,3,2009-04-19,2009-12-21,246,0.0121457489878542,10,No,standard,1,200,200
PRV51751,1,400,400.0,1,2009-01-30,2009-01-30,0,1.0,335,No,standard,1,200,200
PRV51752,70,22490,321.2857142857143,59,2009-01-15,2009-12-30,349,0.2,1,No,champion,6,1200,1200
PRV51753,4,1210,302.5,4,2009-01-10,2009-09-05,238,0.0167364016736401,117,No,standard,1,200,200
PRV51754,7,2110,301.42857142857144,7,2009-01-23,2009-11-03,284,0.0245614035087719,58,No,standard,1,200,200
PRV51755,4,410,102.5,4,2009-04-06,2009-08-06,122,0.032520325203252,147,No,standard,1,200,200
PRV51758,6,900,150.0,6,2009-01-17,2009-12-06,323,0.0185185185185185,25,No,standard,1,200,200
PRV51759,7,610,87.14285714285714,7,2009-03-12,2009-11-05,238,0.0292887029288702,56,No,standard,1,200,200
PRV51761,8,1210,151.25,8,2009-02-10,2009-11-02,265,0.0300751879699248,59,No,standard,1,200,200
PRV51762,12,3000,250.0,12,2009-02-18,2009-09-25,219,0.0545454545454545,97,No,standard,1,200,200
PRV51763,9,3810,423.3333333333333,9,2009-01-14,2009-11-16,306,0.0293159609120521,45,No,standard,1,200,200
PRV51764,26,5630,216.53846153846155,26,2008-12-24,2009-12-30,371,0.0698924731182795,1,No,standard,1,200,200
PRV51765,11,2690,244.54545454545453,11,2009-01-09,2009-11-13,308,0.0355987055016181,48,No,standard,1,200,200
PRV51766,14,1630,116.42857142857144,14,2009-02-23,2009-10-28,247,0.0564516129032258,64,No,standard,1,200,200
PRV51767,10,3960,396.0,10,2009-01-25,2009-11-19,298,0.0334448160535117,42,No,standard,1,200,200
PRV51769,11,1340,121.8181818181818,11,2009-01-14,2009-10-27,286,0.0383275261324041,65,No,standard,1,200,200
PRV51770,8,4460,557.5,8,2009-01-09,2009-08-31,234,0.0340425531914893,122,No,standard,1,200,200
PRV51771,31,3230,104.19354838709675,26,2009-01-03,2009-12-16,347,0.0890804597701149,15,No,standard,1,200,200
PRV51773,3,700,233.33333333333337,3,2009-01-08,2009-07-29,202,0.0147783251231527,155,No,standard,1,200,200
PRV51774,3,2990,996.6666666666666,3,2009-05-01,2009-11-04,187,0.0159574468085106,57,No,standard,1,200,200
PRV51775,24,9000,375.0,22,2009-01-07,2009-11-30,327,0.073170731707317,31,No,standard,1,200,200
PRV51776,42,11690,278.3333333333333,27,2009-01-02,2009-12-14,346,0.1210374639769452,17,No,standard,1,200,200
PRV51778,2,220,110.0,2,2009-02-16,2009-07-03,137,0.0144927536231884,181,No,standard,1,200,200
PRV51779,17,7290,428.8235294117647,15,2009-01-12,2009-12-24,346,0.0489913544668587,7,No,standard,1,200,200
PRV51780,24,4160,173.33333333333334,12,2009-01-09,2009-12-28,353,0.0677966101694915,3,No,standard,1,200,200
PRV51781,18,2660,147.77777777777777,16,2009-01-22,2009-12-31,343,0.0523255813953488,0,No,standard,1,200,200
PRV51784,5,1740,348.0,5,2009-01-02,2009-11-09,311,0.016025641025641,52,No,standard,1,200,200
PRV51786,4,210,52.5,4,2009-02-17,2009-11-01,257,0.0155038759689922,60,No,standard,1,200,200
PRV51787,3,150,50.0,3,2009-02-18,2009-08-30,193,0.0154639175257731,123,No,standard,1,200,200
PRV51788,112,35960,321.07142857142856,69,2009-01-03,2009-12-27,358,0.3119777158774373,4,No,champion,6,1200,1200
PRV51789,27,6890,255.1851851851852,24,2009-01-12,2009-12-10,332,0.081081081081081,21,No,standard,1,200,200
PRV51790,60,14990,249.83333333333337,59,2008-12-12,2009-12-31,384,0.1558441558441558,0,No,rising stars,4,800,800
PRV51792,34,13250,389.7058823529411,23,2009-01-04,2009-12-29,359,0.0944444444444444,2,No,rising stars,4,800,800
PRV51793,20,4320,216.0,10,2008-12-21,2009-12-16,360,0.0554016620498614,15,No,standard,1,200,200
PRV51794,10,1820,182.0,10,2009-03-21,2009-12-02,256,0.0389105058365758,29,No,standard,1,200,200
PRV51795,32,7210,225.3125,24,2009-01-02,2009-11-20,322,0.0990712074303405,41,No,standard,1,200,200
PRV51796,4,140,35.0,4,2009-05-03,2009-11-02,183,0.0217391304347826,59,No,standard,1,200,200
PRV51797,4,380,95.0,3,2009-01-16,2009-10-05,262,0.0152091254752851,87,No,standard,1,200,200
PRV51798,8,1330,166.25,7,2009-05-11,2009-12-16,219,0.0363636363636363,15,No,standard,1,200,200
PRV51799,2,730,365.0,2,2009-10-02,2009-11-08,37,0.0526315789473684,53,No,standard,1,200,200
PRV51801,13,4800,369.2307692307692,13,2009-02-28,2009-12-21,296,0.0437710437710437,10,No,standard,1,200,200
PRV51802,19,4630,243.68421052631575,17,2009-01-03,2009-12-20,351,0.0539772727272727,11,No,standard,1,200,200
PRV51803,2,270,135.0,2,2009-01-15,2009-12-20,339,0.0058823529411764,11,No,standard,1,200,200
PRV51815,4,710,177.5,4,2009-05-23,2009-09-03,103,0.0384615384615384,119,No,standard,1,200,200
PRV51823,3,530,176.66666666666666,3,2009-01-14,2009-12-13,333,0.0089820359281437,18,No,standard,1,200,200
PRV51836,1334,393920,295.29235382308843,576,2008-12-12,2009-12-31,384,3.464935064935065,0,Yes,champion,6,1200,1200
PRV51837,63,20400,323.8095238095238,61,2008-12-24,2009-12-26,367,0.171195652173913,5,No,rising stars,4,800,800
PRV51838,157,45070,287.0700636942675,139,2008-12-26,2009-12-27,366,0.4277929155313351,4,No,champion,6,1200,1200
PRV51840,62,14010,225.96774193548387,60,2009-01-05,2009-12-06,335,0.1845238095238095,25,Yes,standard,1,200,200
PRV51841,39,12540,321.53846153846155,37,2009-01-08,2009-12-31,357,0.1089385474860335,0,No,rising stars,4,800,800
PRV51842,129,46320,359.06976744186045,106,2009-01-06,2009-12-28,356,0.361344537815126,3,Yes,champion,6,1200,1200
PRV51843,34,9350,275.0,26,2009-01-24,2009-11-28,308,0.1100323624595469,33,No,standard,1,200,200
PRV51845,22,6860,311.8181818181818,19,2009-01-04,2009-12-06,336,0.0652818991097922,25,No,standard,1,200,200
PRV51846,21,7760,369.5238095238095,19,2009-01-02,2009-11-25,327,0.0640243902439024,36,No,standard,1,200,200
PRV51847,35,8670,247.71428571428572,31,2009-01-22,2009-11-30,312,0.1118210862619808,31,No,standard,1,200,200
PRV51848,43,8610,200.2325581395349,42,2009-01-03,2009-12-31,362,0.1184573002754821,0,No,rising stars,4,800,800
PRV51849,115,27370,238.0,89,2009-01-01,2009-12-29,362,0.3168044077134986,2,No,champion,6,1200,1200
PRV51851,313,86360,275.9105431309904,246,2008-12-20,2009-12-29,374,0.8346666666666667,2,Yes,champion,6,1200,1200
PRV51852,15,7570,504.6666666666667,14,2009-01-22,2009-12-28,340,0.0439882697947214,3,No,standard,1,200,200
PRV51855,64,12210,190.78125,58,2009-01-03,2009-12-17,348,0.1833810888252149,14,No,rising stars,4,800,800
PRV51856,89,24290,272.92134831460675,81,2008-12-18,2009-12-25,372,0.2386058981233244,6,No,champion,6,1200,1200
PRV51857,24,3280,136.66666666666666,22,2009-01-11,2009-12-08,331,0.072289156626506,23,Yes,standard,1,200,200
PRV51858,47,11310,240.6382978723404,46,2009-01-01,2009-12-22,355,0.1320224719101123,9,No,rising stars,4,800,800
PRV51859,48,13500,281.25,47,2009-01-07,2009-12-19,346,0.138328530259366,12,No,rising stars,4,800,800
PRV51860,583,182000,312.17838765008577,299,2008-12-22,2009-12-30,373,1.5588235294117647,1,No,champion,6,1200,1200
PRV51861,16,2500,156.25,15,2009-01-01,2009-11-14,317,0.050314465408805,47,No,standard,1,200,200
PRV51862,11,3780,343.6363636363636,11,2009-02-13,2009-12-14,304,0.0360655737704918,17,No,standard,1,200,200
PRV51863,40,12720,318.0,39,2009-01-06,2009-12-28,356,0.1120448179271708,3,No,rising stars,4,800,800
PRV51864,97,28640,295.25773195876286,64,2009-01-01,2009-12-24,357,0.2709497206703911,7,No,champion,6,1200,1200
PRV51865,22,11420,519.0909090909091,21,2009-01-07,2009-12-17,344,0.0637681159420289,14,No,standard,1,200,200
PRV51867,69,23680,343.18840579710144,67,2009-01-16,2009-12-21,339,0.2029411764705882,10,No,champion,6,1200,1200
PRV51868,32,5560,173.75,30,2008-12-15,2009-12-14,364,0.0876712328767123,17,Yes,standard,1,200,200
PRV51869,16,5000,312.5,16,2009-03-01,2009-12-07,281,0.0567375886524822,24,No,standard,1,200,200
PRV51870,38,15550,409.2105263157895,38,2009-01-15,2009-12-22,341,0.1111111111111111,9,No,rising stars,4,800,800
PRV51871,23,4890,212.6086956521739,22,2009-01-09,2009-11-24,319,0.071875,37,No,standard,1,200,200
PRV51872,22,8280,376.3636363636364,21,2009-02-03,2009-12-24,324,0.0676923076923076,7,No,standard,1,200,200
PRV51873,94,28230,300.3191489361702,85,2009-01-01,2009-12-26,359,0.2611111111111111,5,Yes,champion,6,1200,1200
PRV51874,31,10660,343.8709677419355,30,2009-01-03,2009-12-25,356,0.0868347338935574,6,No,rising stars,4,800,800
PRV51875,1,50,50.0,1,2009-01-15,2009-01-15,0,1.0,350,No,standard,1,200,200
PRV51876,31,7810,251.93548387096777,29,2008-12-24,2009-12-29,370,0.0835579514824797,2,Yes,rising stars,4,800,800
PRV51877,4,290,72.5,4,2009-01-11,2009-03-21,69,0.0571428571428571,285,No,standard,1,200,200
PRV51878,9,1000,111.11111111111111,9,2009-03-02,2009-10-16,228,0.0393013100436681,76,No,standard,1,200,200
PRV51879,81,38950,480.8641975308642,29,2008-12-24,2009-12-23,364,0.2219178082191781,8,No,champion,6,1200,1200
PRV51884,30,11110,370.3333333333333,30,2009-01-08,2009-12-17,343,0.0872093023255814,14,No,rising stars,4,800,800
PRV51885,73,21810,298.7671232876712,44,2009-01-09,2009-12-18,343,0.2122093023255813,13,No,champion,6,1200,1200
PRV51886,14,1180,84.28571428571429,5,2009-02-20,2009-12-13,296,0.0471380471380471,18,No,standard,1,200,200
PRV51887,1,90,90.0,1,2009-12-31,2009-12-31,0,1.0,0,No,standard,1,200,200
PRV51888,2,500,250.0,2,2009-02-10,2009-07-22,162,0.0122699386503067,162,No,standard,1,200,200
PRV51889,2,60,30.0,1,2009-05-27,2009-09-14,110,0.018018018018018,108,No,standard,1,200,200
PRV51890,17,1930,113.52941176470588,14,2009-01-01,2009-12-03,336,0.0504451038575667,28,No,standard,1,200,200
PRV51891,2,460,230.0,2,2009-09-25,2009-10-07,12,0.1538461538461538,85,No,standard,1,200,200
PRV51892,5,750,150.0,5,2009-01-17,2009-12-28,345,0.0144508670520231,3,No,standard,1,200,200
PRV51894,18,9080,504.44444444444446,18,2009-01-06,2009-10-13,280,0.0640569395017793,79,No,standard,1,200,200
PRV51895,13,3290,253.07692307692307,7,2009-01-25,2009-12-05,314,0.0412698412698412,26,No,standard,1,200,200
PRV51896,5,530,106.0,4,2009-04-18,2009-10-09,174,0.0285714285714285,83,No,standard,1,200,200
PRV51897,53,8450,159.43396226415095,30,2009-01-17,2009-12-26,343,0.1540697674418604,5,No,rising stars,4,800,800
PRV51898,43,5350,124.4186046511628,35,2009-01-11,2009-12-25,348,0.1232091690544412,6,No,standard,1,200,200
PRV51899,16,5240,327.5,11,2009-01-06,2009-12-18,346,0.0461095100864553,13,No,standard,1,200,200
PRV51901,5,3470,694.0,5,2009-02-16,2009-12-04,291,0.0171232876712328,27,No,standard,1,200,200
PRV51902,3,200,66.66666666666667,1,2009-01-22,2009-03-05,42,0.0697674418604651,301,No,standard,1,200,200
PRV51905,203,72910,359.1625615763547,73,2008-12-19,2009-12-25,371,0.5456989247311828,6,No,champion,6,1200,1200
PRV51906,16,2540,158.75,7,2009-01-25,2009-12-29,338,0.0471976401179941,2,No,standard,1,200,200
PRV51908,16,11180,698.75,16,2009-02-26,2009-11-07,254,0.0627450980392156,54,No,standard,1,200,200
PRV51909,12,2820,235.0,12,2009-01-03,2009-12-04,335,0.0357142857142857,27,No,standard,1,200,200
PRV51910,66,22160,335.75757575757575,43,2009-01-08,2009-12-30,356,0.1848739495798319,1,No,rising stars,4,800,800
PRV51911,73,23640,323.83561643835617,51,2008-12-28,2009-12-23,360,0.2022160664819944,8,No,champion,6,1200,1200
PRV51913,1,70,70.0,1,2009-10-18,2009-10-18,0,1.0,74,No,standard,1,200,200
PRV51914,8,1570,196.25,8,2009-01-30,2009-10-15,258,0.0308880308880308,77,No,standard,1,200,200
PRV51915,14,5750,410.7142857142857,12,2009-01-09,2009-12-29,354,0.0394366197183098,2,No,standard,1,200,200
PRV51916,37,6880,185.9459459459459,12,2009-01-06,2009-12-28,356,0.103641456582633,3,No,standard,1,200,200
PRV51917,8,940,117.5,7,2009-02-28,2009-11-14,259,0.0307692307692307,47,No,standard,1,200,200
PRV51920,7,600,85.71428571428571,7,2009-01-20,2009-09-26,249,0.028,96,Yes,standard,1,200,200
PRV51921,60,16660,277.6666666666667,22,2009-01-01,2009-12-28,361,0.1657458563535911,3,No,rising stars,4,800,800
PRV51922,15,3610,240.66666666666663,9,2009-01-29,2009-12-24,329,0.0454545454545454,7,No,standard,1,200,200
PRV51923,8,1040,130.0,6,2009-04-18,2009-10-17,182,0.0437158469945355,75,No,standard,1,200,200
PRV51924,40,12400,310.0,20,2009-01-02,2009-12-20,352,0.1133144475920679,11,No,rising stars,4,800,800
PRV51925,4,1960,490.0,3,2009-05-08,2009-12-29,235,0.0169491525423728,2,No,standard,1,200,200
PRV51926,24,9340,389.1666666666667,22,2009-01-05,2009-11-01,300,0.0797342192691029,60,No,standard,1,200,200
PRV51928,23,4970,216.08695652173913,23,2009-01-10,2009-12-21,345,0.0664739884393063,10,No,standard,1,200,200
PRV51929,67,21590,322.23880597014926,65,2009-01-02,2009-12-24,356,0.1876750700280112,7,No,champion,6,1200,1200
PRV51930,5,610,122.0,5,2009-06-02,2009-11-29,180,0.0276243093922651,32,No,standard,1,200,200
PRV51931,39,10040,257.43589743589746,39,2009-01-07,2009-12-19,346,0.1123919308357348,12,No,rising stars,4,800,800
PRV51932,13,1600,123.07692307692308,13,2009-01-20,2009-11-14,298,0.0434782608695652,47,No,standard,1,200,200
PRV51933,46,13680,297.39130434782606,45,2009-01-07,2009-12-20,347,0.132183908045977,11,No,rising stars,4,800,800
PRV51934,83,18810,226.6265060240964,83,2009-01-11,2009-12-31,354,0.2338028169014084,0,No,rising stars,4,800,800
PRV51935,41,11640,283.9024390243902,41,2009-01-15,2009-12-30,349,0.1171428571428571,1,No,rising stars,4,800,800
PRV51936,17,4600,270.5882352941176,17,2009-01-12,2009-12-10,332,0.051051051051051,21,No,standard,1,200,200
PRV51937,63,16430,260.7936507936508,61,2009-01-04,2009-12-15,345,0.1820809248554913,16,No,standard,1,200,200
